Feature,AR Coefficient,MA Coefficient,Sigma2,AIC,BIC,MSE,MAE,R²,MAPE (%),SMAPE (%),Accuracy (%)
Mean Temperature,0.7670009144029173,-0.8842220682886229,0.3729761916430584,23827.721551611143,23850.108348785292,3.2650217716060697,1.47020290597079,-0.9804450940335272,5.565156519470621,5.780604067498253,94.43484348052938
Feels-Like Temperature,-0.250378441672052,0.4393426582524407,0.6951297243484006,31836.68175625278,31859.06855342693,0.3646545407173142,0.42127815666749313,-0.5544101542594093,1.5245527152268823,1.547590457262634,98.47544728477311
Total Precipitation,0.3985227428827132,-0.960197472973412,20.97013057042699,75666.62125451806,75689.0080516922,89.43351493816819,4.380967040608746,-0.08318483374658547,537204478983.0519,188.16592141801877,-537204478883.0519
Daylight Duration,0.9998992137271191,0.9348829758058524,0.09528090256255158,6287.94046535037,6310.327262524517,93380.93772179757,305.5818012084897,-11.102603428234382,0.7000722673338624,0.6976302547365499,99.29992773266613
Max Wind Speed,0.7654905517580138,-0.9516830929194795,7.9391156458940415,63169.736196275415,63192.122993449564,8.341657238354793,2.5493365592019828,-0.9090631162672491,18.712912398263732,19.53721907319443,81.28708760173626
