date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,daylight_duration,precipitation_sum,precipitation_hours,wind_speed_10m_max
1990-02-17 18:30:00+00:00,31.0455,18.0455,24.23925,31.487545,17.615194,24.012506,42307.79,0.0,0.0,9.028754
1990-02-18 18:30:00+00:00,31.1455,17.7955,24.533003,31.424763,16.884598,23.57887,42347.484,0.0,0.0,13.207634
1990-02-19 18:30:00+00:00,30.8955,17.345499,24.287169,29.622368,17.730938,23.138153,42387.215,0.0,0.0,16.75064
1990-02-20 18:30:00+00:00,30.6455,16.2955,23.572584,28.979149,16.195854,22.192396,42427.297,0.0,0.0,15.716793
1990-02-21 18:30:00+00:00,31.345499,16.6455,23.9955,30.564022,15.742342,22.556505,42467.83,0.0,0.0,13.551501
1990-02-22 18:30:00+00:00,31.4955,16.095499,23.970499,31.671036,14.71266,22.988993,42508.77,0.0,0.0,10.703569
1990-02-23 18:30:00+00:00,31.0455,16.4955,24.320501,31.701946,16.365738,23.815725,42550.09,0.0,0.0,11.609651
1990-02-24 18:30:00+00:00,31.095499,17.7455,24.69133,32.32617,17.732742,24.390175,42591.75,0.0,0.0,10.464798
1990-02-25 18:30:00+00:00,31.845499,18.4955,25.65383,32.891594,18.46353,25.202616,42633.715,0.0,0.0,9.107359
1990-02-26 18:30:00+00:00,32.695503,17.4955,25.312164,33.491817,16.626263,24.535248,42675.953,0.0,0.0,8.209263
1990-02-27 18:30:00+00:00,31.845499,18.4955,25.514246,33.3946,19.616428,26.14463,42718.426,0.0,0.0,10.853866
1990-02-28 18:30:00+00:00,31.7955,21.0455,26.518415,34.034695,22.488642,27.695038,42761.098,0.0,0.0,10.383987
1990-03-01 18:30:00+00:00,31.2455,21.7455,26.591331,32.613026,23.094734,27.355474,42803.938,0.0,0.0,12.413476
1990-03-02 18:30:00+00:00,31.3955,21.3955,26.22258,32.5116,23.093544,26.850042,42846.914,0.2,2.0,15.530151
1990-03-03 18:30:00+00:00,28.845499,20.7455,24.112167,29.672379,22.073425,25.222471,42889.992,0.8,4.0,11.659777
1990-03-04 18:30:00+00:00,31.595499,18.9955,25.222586,33.853905,21.376038,26.697258,42933.14,0.0,0.0,11.808878
1990-03-05 18:30:00+00:00,31.2455,19.3955,25.564249,32.882973,21.104158,26.519007,42976.324,0.1,1.0,8.891344
1990-03-06 18:30:00+00:00,30.4955,20.7455,25.545496,33.1788,22.348719,26.729937,43019.516,0.0,0.0,8.049845
1990-03-07 18:30:00+00:00,31.7455,20.1455,25.839247,31.656536,20.408731,25.583933,43062.676,0.0,0.0,11.4862
1990-03-08 18:30:00+00:00,31.845499,19.1955,25.608,33.720055,19.278568,25.68263,43105.773,0.0,0.0,14.618837
1990-03-09 18:30:00+00:00,28.0455,19.8955,22.574667,30.996437,21.474257,24.636482,43148.78,7.5999994,10.0,17.057314
1990-03-10 18:30:00+00:00,27.9955,19.2955,22.7705,30.759289,21.417236,24.767035,43191.656,0.0,0.0,12.074766
1990-03-11 18:30:00+00:00,28.7955,19.3955,23.155916,31.503925,21.571959,25.350393,43234.402,0.6,4.0,12.7279215
1990-03-12 18:30:00+00:00,29.0455,19.1455,23.949667,32.01198,21.551163,26.003258,43277.293,0.2,2.0,11.019764
1990-03-13 18:30:00+00:00,31.7455,19.7455,25.614252,32.734066,21.905645,26.574997,43320.434,0.0,0.0,8.905908
1990-03-14 18:30:00+00:00,32.8455,18.9955,25.966333,33.852974,20.649715,26.666014,43363.793,0.0,0.0,13.207634
1990-03-15 18:30:00+00:00,30.6955,19.7955,24.774666,31.218037,22.183577,25.569145,43407.34,0.0,0.0,15.1884165
1990-03-16 18:30:00+00:00,30.845499,18.3955,24.164251,30.02612,19.969566,23.841408,43451.043,0.0,0.0,18.03237
